Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2016-07-12,140.7095489501953,141.25112957388393,140.32029473657883,140.88726094322934,1642100
2016-07-13,141.1326904296875,141.47964402330214,140.48956733191437,141.31886002078298,1479800
2016-07-14,141.26808166503906,142.1650735152981,140.70957292013344,141.44578077604362,2150100
2016-07-15,140.81954956054688,141.6911555995865,140.1341130553118,141.6911555995865,1962300
2016-07-18,141.7504119873047,142.0465943704364,140.40492429495626,140.94650497747838,1993800
2016-07-19,142.2666015625,142.6389406883395,141.6488641467944,141.7419489282543,1487800
2016-07-20,142.19891357421875,142.3850831518128,141.27653615669527,142.37662559366854,1336900
2016-07-21,141.36114501953125,141.95349682022552,140.72647960900863,141.68270004716481,1384600
2016-07-22,141.71656799316406,141.91119511994705,141.2850001262187,141.8942670921349,1335100
2016-07-25,142.13967895507812,142.33430608275486,140.81110638021485,141.46269987480457,1732200
2016-07-26,141.8011932373047,142.8589689954908,141.06497252924197,141.826578822517,1593900
2016-07-27,140.59957885742188,141.74198208692485,140.26109570691222,141.4542701177612,1440000
2016-07-28,140.768798828125,141.200366676049,140.30337492606893,140.69262916247848,1866500
2016-07-29,141.50502014160156,141.8942744152568,140.79419788442908,141.0142106081341,1359700
2016-08-01,141.7927703857422,142.16510964363496,141.23426149890304,141.445816721587,986800
2016-08-02,140.89573669433594,141.77580047936203,139.27945217144236,141.3780886575009,2107300
2016-08-03,140.57418823242188,140.75190027307306,139.71105235584204,140.40494666322803,1837100
2016-08-04,140.93804931640625,141.9450539378438,140.379540598454,140.50646852876034,1638300
2016-08-05,141.9112091064453,142.44433228050525,140.54033570149488,141.20038681590088,1526500
2016-08-08,141.65736389160156,141.7843047653795,140.87038470586077,141.53043593012896,1294400
2016-08-09,142.04660034179688,142.67280827791032,141.21730771138908,141.94505799464972,1286700
2016-08-10,142.79324340820312,142.97143308677545,141.7411177059942,142.0720302973355,1104300
2016-08-11,142.44540405273438,143.89632385652732,141.97872901902463,143.48904971211317,1497800
2016-08-12,143.42965698242188,143.74360908496618,141.8344944314641,141.8344944314641,1399100
2016-08-15,143.16659545898438,143.62479013007336,143.04780664555568,143.42962690679008,918600
2016-08-16,142.8950958251953,143.22600847256626,142.4453943543325,142.4453943543325,1023000
2016-08-17,142.51324462890625,142.85263749471423,141.6308024625928,142.08050383594195,1382500
2016-08-18,142.33505249023438,143.1496134798574,141.86837759758617,142.90354265145757,1353400
2016-08-19,142.56422424316406,142.82725578901812,141.78360990007587,141.8769449273481,1764800
2016-08-22,142.49632263183594,143.1326941956101,142.2247978833929,142.8357156203771,955000
2016-08-23,142.00416564941406,142.9290223652278,141.96173829748471,142.6235635571505,1003700
2016-08-24,142.18234252929688,142.44537396172942,141.49505056283292,141.81748287201287,1363800
2016-08-25,139.88296508789062,142.0466311472286,139.69629504688024,141.8684414000774,1817700
2016-08-26,139.0937957763672,140.55320838672918,138.70349527999582,140.33260432125874,2009900
2016-08-29,139.13624572753906,139.8659521512819,138.6441169350604,139.55201305575633,1819200
2016-08-30,137.4222869873047,139.39078910021829,137.23561700931168,139.2126123602308,2010700
2016-08-31,137.5325927734375,137.9398798176782,136.73500516222882,137.34592278157973,1933200
2016-09-01,132.54342651367188,134.91072216824247,131.97492339796077,134.91072216824247,6038500
2016-09-02,134.0452880859375,135.1483346000418,133.0440698150041,133.052550107347,2679000
2016-09-06,134.11317443847656,134.1895359135416,132.38224960194398,134.17257532820162,2716900
2016-09-07,132.059814453125,133.95195543979258,131.85617091021012,133.7568051363813,2984100
2016-09-08,130.2186279296875,131.93259276111857,129.76892627271548,131.67804147771537,2993100
2016-09-09,127.86824035644531,129.6415924433022,127.86824035644531,129.4718959710642,2993900
2016-09-12,128.70826721191406,128.96281841719176,127.49491207712904,127.6985556307536,2982400
2016-09-13,127.90217590332031,128.61490879075478,127.33368565165165,128.27550292982664,2148600
2016-09-14,127.85977172851562,129.18342245853933,127.44400432864424,127.87674526139114,2188900
2016-09-15,129.53976440429688,129.79431556111467,127.3676187005363,127.88520130549563,2284300
2016-09-16,129.26829528808594,129.53132682295606,128.2416100309651,128.9373825592148,2842000
2016-09-19,128.79310607910156,129.84524499525986,128.6319028348379,129.0816043436528,1321300
2016-09-20,129.11550903320312,129.57370367734353,128.69126144633697,129.33611311745034,1396700
2016-09-21,129.56521606445312,129.734912517165,128.33490059853025,129.47188107341017,1535100
2016-09-22,129.947021484375,130.9058251058987,129.5482277451753,129.84520621377354,2502200
2016-09-23,129.4209747314453,130.47311346403555,129.11551593469392,129.94703762423563,2282100
2016-09-26,128.28404235839844,129.2088993867899,128.13130642923397,129.03920286872952,1862200
2016-09-27,127.65611267089844,128.77613265843522,127.27429238315109,128.479154130737,2569000
2016-09-28,126.77369689941406,127.84279640941597,126.37490303799015,127.78340846569961,2626300
2016-09-29,125.14457702636719,127.01126410544406,124.8985061379234,126.58701645351701,4501300
2016-09-30,129.4040069580078,131.38949569871448,128.63188611402148,128.7930893373304,7318100
2016-10-03,128.13131713867188,129.1834563538091,127.54586604448262,129.1580025213233,3197100
2016-10-04,127.68162536621094,128.64890991644674,126.84162293525297,128.5216407441854,2840500
2016-10-05,127.25736236572266,128.05495027556637,127.1300932086263,127.80889225617511,2377700
2016-10-06,126.82457733154297,127.81731515213124,126.42578355570718,127.46942901627294,2465500
2016-10-07,127.26583099365234,127.4355274859656,126.24762614574786,127.07916096800402,2282100
2016-10-10,127.51182556152344,127.99547391849019,127.062124254347,127.57122642515347,1587700
2016-10-11,128.13131713867188,128.24162571078742,126.85857372631908,126.99433613092043,2596800
2016-10-12,127.66461181640625,128.53856096211095,127.60521092931413,128.09733976960598,1664500
2016-10-13,127.46097564697266,128.4112863192967,127.03672796154058,127.2149047390954,1795300
2016-10-14,127.40157318115234,128.1227994162738,126.66338636067188,127.4270270062026,1745000
2016-10-17,126.17125701904297,127.4440000547704,126.11186907648843,127.34218475495594,1988400
2016-10-18,126.51914978027344,126.95187777392493,125.92520558888538,126.85854276192022,1847800
2016-10-19,126.8075942993164,128.39428899275606,126.6888054992682,127.86821320939268,1812000
2016-10-20,127.3082275390625,127.93611871421223,126.93490048717389,127.1470243095475,2251200
2016-10-21,126.40032196044922,127.52032881208616,126.00152820914445,126.85850363907153,2188000
2016-10-24,129.0731201171875,129.24282956007278,126.67187650690349,126.7227971079767,2432800
2016-10-25,128.11428833007812,128.94580995821576,127.18941876984441,127.18941876984441,2060600
2016-10-26,128.10581970214844,128.47067942194846,127.51187556795072,127.57127645487604,2246100
2016-10-27,128.00401306152344,128.51311546640662,127.1215835663395,127.97855923598048,1993500
2016-10-28,127.0706787109375,128.00402891985144,126.74825923177833,127.64766237108799,1843900
2016-10-31,125.467041015625,126.72282383334975,124.81370872137973,126.33251015821574,3239400
2016-11-01,124.44029235839844,126.11182871275102,124.20271477019674,125.98454668170956,2112000
2016-11-02,124.49140930175781,125.40208692721899,124.36373547525426,124.62757653509011,2260500
2016-11-03,122.9423599243164,124.85734999474768,122.6785189258431,124.85734999474768,2168200
2016-11-04,121.0614242553711,123.41047412201088,120.95077622622581,121.70826068584522,2702100
2016-11-07,122.1678466796875,122.26998831197147,121.49547811919948,122.03167948140428,3010100
2016-11-08,124.33818054199219,124.79778545427803,122.38915182141797,122.46574831117954,3505200
2016-11-09,124.93395233154297,125.444621568983,122.16785543360223,122.16785543360223,3170200
2016-11-10,124.85735321044922,127.66600798345685,124.78075672250503,125.16375214908383,3944200
2016-11-11,127.12130737304688,127.34259045743181,123.73390607312453,124.78076376132135,3218000
2016-11-14,129.3682403564453,129.48739479519398,127.24047324531958,128.44904340601582,3890800
2016-11-15,128.64483642578125,129.3682826749592,127.91288378064573,129.35125689618005,2799900
2016-11-16,129.48736572265625,129.83632256737934,129.19799257735963,129.5299236526956,2152300
2016-11-17,128.68734741210938,128.8575661771839,127.28302636667027,128.7128795775276,2098700
2016-11-18,127.97244262695312,128.68736935428223,127.25751589962402,128.38097033016095,2020500
2016-11-21,128.6617889404297,128.76391758122128,127.76812437293337,128.13410698053096,1181200
2016-11-22,129.93846130371094,130.26188601290568,128.69585276591894,129.30863765603115,1954200
2016-11-23,129.0277862548828,130.50870366258545,128.67030999765308,130.00655380564854,2166900
2016-11-25,129.2661590576172,130.57685836412895,129.1214723994666,129.27466545390914,886800
2016-11-28,128.72988891601562,129.73418859254477,128.5256186318884,128.55967017267176,1733500
2016-11-29,128.92567443847656,129.555498243502,128.79801359340573,129.0448288894964,1496800
2016-11-30,127.7596664428711,128.97674316348076,127.72562787864814,128.62779917946457,2750500
2016-12-01,129.14694213867188,130.11720330832551,127.75963398877317,127.75963398877317,2305200
2016-12-02,129.44480895996094,130.10867111661963,128.88307544683218,129.35970608597165,1829200
2016-12-05,129.1725311279297,129.56403313015005,128.32993040458135,129.4448786529268,2432100
2016-12-06,128.52566528320312,129.43635602027808,128.0235152626718,129.24060504372326,2245400
2016-12-07,130.94276428222656,130.99382860371358,128.07452601908832,128.1766676489193,2811300
2016-12-08,134.1259002685547,136.94306133683224,133.28331295636312,133.31735150977332,5504300
2016-12-09,135.92173767089844,136.0323856979194,133.84503524074964,133.86206101110463,2614700
2016-12-12,136.4579315185547,137.2664802432199,134.9514691032824,134.98552064211327,2299200
2016-12-13,135.98129272460938,137.91329517998497,135.4450914596863,136.90048932725398,3583300
